occ1990dd,occ1990dd_desc,Recode,Recode_desc
436,"Cooks, variously defined",33,"Food prep, buildings and grounds, cleaning"
439,Kitchen workers,33,"Food prep, buildings and grounds, cleaning"
444,Misc food prep workers,33,"Food prep, buildings and grounds, cleaning"
445,Dental assistants,34,Personal care and personal services
447,Health and nursing aides,34,Personal care and personal services
448,Supervisors of cleaning and building service,33,"Food prep, buildings and grounds, cleaning"
450,"Supervisors of landscaping, lawn service and groundskeeping",33,"Food prep, buildings and grounds, cleaning"
451,Gardeners and groundskeepers,33,"Food prep, buildings and grounds, cleaning"
453,Janitors,33,"Food prep, buildings and grounds, cleaning"
455,Pest control occupations,33,"Food prep, buildings and grounds, cleaning"
457,Barbers,34,Personal care and personal services
458,Hairdressers and cosmetologists,34,Personal care and personal services
459,Recreation facility attendants,34,Personal care and personal services
461,Guides,34,Personal care and personal services
462,Ushers,34,Personal care and personal services
464,Baggage porters,34,Personal care and personal services
466,Recreation and fitness workers,34,Personal care and personal services
467,Motion picture projectionists,34,Personal care and personal services
468,Child care workers,34,Personal care and personal services
469,"Personal service occupations, nec",34,Personal care and personal services
470,"Supervisors of personal service jobs, n.e.c.",34,Personal care and personal services
471,Public transportation attendants and inspectors,34,Personal care and personal services
472,"Animal caretakers, except farm",40,Agriculture
473,Farmers (owners and tenants),40,Agriculture
475,Farm managers,40,Agriculture
479,Farm workers,40,Agriculture
488,Graders and sorters of agricultural products,40,Agriculture
489,Inspectors of agricultural products,40,Agriculture
496,"Timber, logging, and forestry workers",40,Agriculture
498,"Fishers, marine life cultivators hunters, and kindred",40,Agriculture
503,Supervisors of mechanics and repairers,23,"Production, craft and repair"
505,Automobile mechanics,23,"Production, craft and repair"
507,"Bus, truck, and stationary engine mechanics",23,"Production, craft and repair"
508,Aircraft mechanics,23,"Production, craft and repair"
509,Small engine repairers,23,"Production, craft and repair"
514,Auto body repairers,23,"Production, craft and repair"
516,Heavy equipment and farm equipment mechanics,23,"Production, craft and repair"
518,Industrial machinery repairers,23,"Production, craft and repair"
519,Machinery maintenance occupations,23,"Production, craft and repair"
523,Repairers of industrial electrical equipment,23,"Production, craft and repair"
525,Repairers of data processing equipment,23,"Production, craft and repair"
526,Repairers of household appliances and power tools,23,"Production, craft and repair"
527,Telecom and line installers and repairers,23,"Production, craft and repair"
533,"Repairers of electrical equipment, n.e.c.",23,"Production, craft and repair"
534,"Heating, air conditioning, and refigeration mechanics",23,"Production, craft and repair"
535,"Precision makers, repairers, and smiths",23,"Production, craft and repair"
